Acción,Incidencia,Farola,Sticker,Potencia,Tecnologia,Tipo,LATITUD,LONGITUD,Descripción,Mes,Tiempo (Días),Operario,Estado
Correctivo,1687532,1630339,016622,27.8,LED,AVE,2.973606189,-75.28959598,Registro de incidencia tipo: ApagadaPQR-EXTERNA,Abril,0,ESIP,FINALIZADA
Correctivo,1687981,1630339,016622,27.8,LED,ACT,2.973606189,-75.28959598,Se ha actuado sobre: Otros: C.E,Abril,0,cuad54 ,FINALIZADA
Correctivo,1687535,1630340,010291,27.8,LED,AVE,2.973596154,-75.28956602,Registro de incidencia tipo: ApagadaPQR-EXTERNA,Abril,0,ESIP,FINALIZADA
Correctivo,1697105,1630340,010291,27.8,LED,AVE,2.973596154,-75.28956602,Registro de incidencia tipo: ApagadaPQR-EXTERNA,Abril,2,ESIP,FINALIZADA
Correctivo,1688353,1630340,010291,27.8,LED,AVE,2.973596154,-75.28956602,Registro de incidencia tipo: ApagadaPQR-EXTERNA,Abril,3,ESIP,FINALIZADA
Correctivo,1687973,1630340,010291,27.8,LED,ACT,2.973596154,-75.28956602,Se ha actuado sobre: Otros: C.E,Abril,0,cuad54 ,FINALIZADA
Correctivo,1700169,1630340,010291,27.8,LED,ACT,2.973596154,-75.28956602,Se ha actuado sobre: Otros: C.E,Abril,0,cuad56 ,FINALIZADA
Correctivo,1689345,1630340,010291,27.8,LED,ACT,2.973596154,-75.28956602,Se ha actuado sobre: Otros: C.E,Abril,0,cuad55 ,FINALIZADA
Correctivo,1696937,1630380,030592,92.6,LED,AVE,2.93006174,-75.27996274,"Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA
",Abril,0,ESIP,FINALIZADA
Correctivo,1697179,1630380,030592,92.6,LED,ACT,2.93006174,-75.27996274,Se ha actuado sobre: Otros: C.E,Abril,0,cuad57 ,FINALIZADA
Correctivo,1696933,1630381,030097,92.6,LED,AVE,2.92997515,-75.27995679,"Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA
",Abril,0,ESIP,FINALIZADA
Correctivo,1697176,1630381,030097,92.6,LED,ACT,2.92997515,-75.27995679,Se ha actuado sobre: Otros: C.E,Abril,0,cuad57 ,FINALIZADA
Correctivo,1696936,1630382,030005,92.6,LED,AVE,2.92997515,-75.27995679,"Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA
",Abril,0,ESIP,FINALIZADA
Correctivo,1697177,1630382,030005,92.6,LED,ACT,2.92997515,-75.27995679,Se ha actuado sobre: Otros: C.E,Abril,0,cuad57 ,FINALIZADA
Correctivo,1698050,1630482,029745,92.6,LED,AVE,2.925694043,-75.26482704,Registro de incidencia tipo: ApagadaPQR-EXTERNA,Abril,1,ESIP,FINALIZADA
Correctivo,1701636,1630482,029745,92.6,LED,ACT,2.925694043,-75.26482704,"Se ha actuado sobre: Fotocelda, Conectores y 1BRAZO.1.5.2CDP 1F.",Abril,0,cuad55 ,FINALIZADA
Correctivo,1700709,1630502,062542,200,LED,AVE,2.954489097,-75.29530201,Registro de incidencia tipo: ApagadaPQR-EXTERNA,Abril,1,ESIP,FINALIZADA
Correctivo,1702529,1630502,062542,200,LED,AVE,2.954489097,-75.29530201,Registro de incidencia tipo: IntermitentePQR-EXTERNA,Abril,0,ESIP,FINALIZADA
Correctivo,1701932,1630502,062542,200,LED,ACT,2.954489097,-75.29530201,"Se ha actuado sobre: Fotocelda, Otros: 1F",Abril,0,cuad54 ,FINALIZADA
Correctivo,1703901,1630502,062542,200,LED,ACT,2.954489097,-75.29530201,Se ha actuado sobre: Otros: C.E,Abril,0,cuad54 ,FINALIZADA
Correctivo,1687421,1630541,031572,300,LED,AVE,2.94659277,-75.29123082,Registro de incidencia tipo: ApagadaPQR-INTERNA,Abril,0,COORDMTTO,FINALIZADA
Correctivo,1687442,1630541,031572,300,LED,ACT,2.94659277,-75.29123082,Se ha actuado sobre: Otros: C.E,Abril,0,cuad56 ,FINALIZADA
Correctivo,1687422,1630542,031574,300,LED,AVE,2.94659277,-75.29123082,Registro de incidencia tipo: ApagadaPQR-INTERNA,Abril,0,COORDMTTO,FINALIZADA
Correctivo,1687443,1630542,031574,300,LED,ACT,2.94659277,-75.29123082,Se ha actuado sobre: Otros: C.E,Abril,0,cuad56 ,FINALIZADA
Correctivo,1687419,1630543,031596,300,LED,AVE,2.94659277,-75.29123082,Registro de incidencia tipo: ApagadaPQR-INTERNA,Abril,0,COORDMTTO,FINALIZADA
Correctivo,1687440,1630543,031596,300,LED,ACT,2.94659277,-75.29123082,Se ha actuado sobre: Otros: C.E,Abril,0,cuad56 ,FINALIZADA
Correctivo,1687418,1630544,031538,300,LED,AVE,2.94659277,-75.29123082,Registro de incidencia tipo: ApagadaPQR-INTERNA,Abril,0,COORDMTTO,FINALIZADA
Correctivo,1687439,1630544,031538,300,LED,ACT,2.94659277,-75.29123082,Se ha actuado sobre: Otros: C.E,Abril,0,cuad56 ,FINALIZADA
Correctivo,1687420,1630545,031595,300,LED,AVE,2.94659277,-75.29123082,Registro de incidencia tipo: ApagadaPQR-INTERNA,Abril,0,COORDMTTO,FINALIZADA
Correctivo,1687441,1630545,031595,300,LED,ACT,2.94659277,-75.29123082,Se ha actuado sobre: Otros: C.E,Abril,0,cuad56 ,FINALIZADA
Correctivo,1687417,1630546,031594,300,LED,AVE,2.94659277,-75.29123082,Registro de incidencia tipo: ApagadaPQR-INTERNA,Abril,0,COORDMTTO,FINALIZADA
Correctivo,1687438,1630546,031594,300,LED,ACT,2.94659277,-75.29123082,Se ha actuado sobre: Otros: C.E,Abril,0,cuad56 ,FINALIZADA
Correctivo,1687411,1630547,031696,400,LED,AVE,2.94668646,-75.29172275,Registro de incidencia tipo: ApagadaPQR-INTERNA,Abril,0,COORDMTTO,FINALIZADA
Correctivo,1687435,1630547,031696,400,LED,ACT,2.94668646,-75.29172275,"Se ha actuado sobre: Conectores, Otros: C.E 3GEL",Abril,0,cuad56 ,FINALIZADA
